College,Branch,Category,Rank
E171,AI,1H,0
E171,AI,1KH,0
E171,AI,1RH,0
E171,AI,2AH,0
E171,AI,2AKH,0
E171,AI,2ARH,0
E171,AI,2BH,0
E171,AI,2BKH,0
E171,AI,2BRH,0
E171,AI,3AH,0
E171,AI,3AKH,0
E171,AI,3ARH,0
E171,AI,3BH,0
E171,AI,3BKH,0
E171,AI,3BRH,0
E171,AI,GMH,67417
E171,AI,GMKH,101388
E171,AI,GMRH,0
E171,AI,SCH,0
E171,AI,SCKH,0
E171,AI,SCRH,0
E171,AI,STH,0
E171,AI,STKH,0
E171,AI,STRH,0
E171,CE,1H,0
E171,CE,1KH,0
E171,CE,1RH,0
E171,CE,2AH,0
E171,CE,2AKH,0
E171,CE,2ARH,0
E171,CE,2BH,0
E171,CE,2BKH,0
E171,CE,2BRH,0
E171,CE,3AH,0
E171,CE,3AKH,0
E171,CE,3ARH,0
E171,CE,3BH,0
E171,CE,3BKH,0
E171,CE,3BRH,0
E171,CE,GMH,0
E171,CE,GMKH,0
E171,CE,GMRH,0
E171,CE,SCH,0
E171,CE,SCKH,0
E171,CE,SCRH,0
E171,CE,STH,0
E171,CE,STKH,0
E171,CE,STRH,0
E171,CS,1H,0
E171,CS,1KH,0
E171,CS,1RH,0
E171,CS,2AH,81429
E171,CS,2AKH,0
E171,CS,2ARH,84852
E171,CS,2BH,0
E171,CS,2BKH,0
E171,CS,2BRH,0
E171,CS,3AH,0
E171,CS,3AKH,0
E171,CS,3ARH,0
E171,CS,3BH,0
E171,CS,3BKH,0
E171,CS,3BRH,0
E171,CS,GMH,55275
E171,CS,GMKH,0
E171,CS,GMRH,0
E171,CS,SCH,138277
E171,CS,SCKH,0
E171,CS,SCRH,0
E171,CS,STH,192976
E171,CS,STKH,0
E171,CS,STRH,0
E171,EC,1H,0
E171,EC,1KH,0
E171,EC,1RH,0
E171,EC,2AH,112669
E171,EC,2AKH,0
E171,EC,2ARH,0
E171,EC,2BH,0
E171,EC,2BKH,0
E171,EC,2BRH,0
E171,EC,3AH,0
E171,EC,3AKH,0
E171,EC,3ARH,0
E171,EC,3BH,0
E171,EC,3BKH,0
E171,EC,3BRH,0
E171,EC,GMH,82312
E171,EC,GMKH,0
E171,EC,GMRH,92541
E171,EC,SCH,0
